Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WMT,XOM
2025-01-03,-0.002009491230185234,0.017969281426164496,-0.011462159054347443,0.011173916019757923,0.002725774913813206,0.007770372042158691,0.0030680903667936743,-0.0037926525299024627,0.008974452526814725,0.0018534767729792012,0.0123215191347259,0.016815042736590735,0.0011804081115380782,0.013666602954413465,-0.001455381195980543,0.007760405081174149,0.0013105163090236793,-0.00030258364324475817,0.011395731112941121,-0.0048866317650128055,-0.0007516548859489713,-0.005121029871368976,-0.001206764258985693,0.00581176436791786,0.01682824983800635,0.0016222527523552799,0.0012433794001580623,0.008666645257630945,0.0051254500311554985
2025-01-06,0.006738979505805709,-0.003959352113771519,0.005179546288557546,0.0011270223600896578,-0.0015290804598612207,-0.003990646804743259,-0.000989585401144244,0.008883145155899053,0.005619526519317297,0.00048822479102317295,8.977736689375071e-05,-0.03356024536148294,-0.003675661358401583,-0.004875397783333679,-0.015222683734480214,-0.008820083935808465,0.003234054351099358,0.005850348753434043,0.010629489763471556,-0.01786938620163958,0.011282458298080611,-0.027432986051371233,-0.015275777992275974,-0.0016921115610388782,0.0013059853423276202,-0.005938300815414688,-0.01614497328615938,0.0071602486891322314,-0.0011126402102290545
2025-01-07,-0.011387742814264357,0.0004638319635679178,0.010129966857388206,-0.0032950089435106467,0.002722528226688281,0.015822389167468476,0.003061666834210275,-0.008553392209025512,-0.005605333171863736,-0.013200858102867308,0.005793459451829408,0.007045766670125575,0.01788939666388445,0.009632511883755912,0.0004933014068388974,-0.009720174320771435,0.019034511462494574,0.013036465391967678,-0.012808275419088577,0.0012499667275431836,0.008925252465323386,0.004358716677564711,0.006135029261270075,-0.0008269268164339261,0.0011291683584944145,-0.0043764810484704375,-0.017419928895224368,-0.00678120880707167,0.009374412704378887
2025-01-08,0.002023034290709713,0.0027481784694873834,-0.004347574192116066,-0.005316768948109951,0.004581660418428335,0.004746437612111354,-0.014633259857502856,-0.012433514530061363,-0.00017231490276070627,0.007729762432422849,-0.0034828637818091757,-0.00649680492894722,-0.027080502117554417,-0.0001644713250937846,0.014299905138221325,-0.008432945264069791,0.013256120037751895,-0.011581856001340096,0.0051850455353357194,-0.011097243518114142,-0.009952131279141407,0.0049597722466370175,0.009756003486974585,0.004510158225914607,0.019970937109990983,0.0029839925465269257,0.0005138574413838803,0.010901970131950378,-0.016735571210962807
2025-01-10,-0.024103803631356224,-0.03153384761146816,0.0013973305824395155,-0.027889250853457503,-0.007770218192427514,0.018895536195757234,-0.01011296458996458,-0.010791222036376502,-0.0345160396941776,0.006947311578713533,-0.015368706293632739,-0.03672030045539387,-0.001476222763333035,-0.013408530771239158,-0.010371165240955382,-0.015998615882060863,-0.02467865307891759,-0.006008966480719247,-0.013213688538304735,-0.001262415594527666,-0.005212231595544625,-0.021838484087830512,-0.006987504950005774,-0.042591804452852156,-0.0073019983587528925,-0.015643047571555102,-0.011813174673944049,0.013071836318691243,-0.003647290465348507
2025-01-13,-0.01034414584481358,0.012683222149708628,-0.008313910905704991,0.032763436208184116,0.00034042365111353057,0.014431254093344004,-0.005246217658585017,0.03038959520868212,0.005267861243465788,-0.0018210127623933259,-0.0106939990916608,0.0026110258697236155,0.01696469988539051,0.018093163613591923,0.009497387220721798,0.004675874366404376,0.025836534694971602,0.017430839682823995,-0.004200941161408345,0.012359609090419665,0.0029940892113660134,0.0017659179805278313,0.022847669960929684,0.003872098534523749,0.039274753624585435,-0.0025672372859179005,0.008198751919728187,-0.015806364533677675,0.025811946243374795
2025-01-14,-0.004778101960480674,0.011245111074663638,-0.020812586617352857,0.025020742728550927,0.009700525165381668,0.009977399306164036,0.00037012335365638194,0.010335157356355484,0.01524111938330086,0.009250158908625128,0.0016099445613142471,0.0,0.001938107544741774,0.013349169598991129,0.006325982656573581,-0.007227812466515382,0.019390740415831553,-0.013170958412134892,-0.0036434112803426233,-0.01262487139062185,-0.014552326886365874,0.005666060363499925,0.014693447485742972,0.015428785274606671,0.0048046623615189965,0.00707013770065501,0.004197412271897516,-0.008084822528193758,0.003934510227077803
2025-01-15,0.019675867749100462,0.039818979026546186,-0.004909635392423173,0.008935029758698976,0.01095561345729612,0.009114201755092255,0.0005548733219953306,0.007984135748450694,0.060171790519403245,0.03388671308630853,0.010470750670852125,0.027083256757924667,0.001519806879376917,0.019719603084763282,-0.0043520683356572665,0.002556938544285847,0.004154293525357344,0.004415361228865544,0.025597139870547014,-0.001405073177624061,-0.007194217303109873,-0.0005634725281404851,-0.0031807790491822363,0.012873040343710507,-0.0005884855619391338,0.023261900294436755,-0.002612391112867485,0.0060578803540054516,0.016314261377660566
2025-01-16,-0.040400196921681064,-0.0026895695230467753,0.01642596737465185,0.015097697032478319,-0.002667540835399662,0.006631651821624951,-0.015899388908362067,0.011633550944933457,0.011668212459430505,0.007978467970378933,0.011952951106006804,-0.0025354583570744715,0.019314447181052463,0.0076084767093334005,0.007770850600767876,-0.00906837027312879,0.010160871437353558,0.006094465748302635,-0.004058091187746915,0.0005627982393967557,0.010297533801227443,0.005324172993242282,0.011503918686634806,0.009959141176218322,-0.06041364567763985,0.003066825307178167,0.004190605827750105,-0.0004378605743539099,-0.0017038802037875334
2025-01-17,0.007535239806619742,0.003467258934905182,0.012786383447342953,0.014373975220837831,0.006853827907391752,0.013113313197007592,0.005260145380895365,0.004159744960968492,0.021126042180909632,0.0001222354665066927,0.009566096754838327,0.09252667451779328,-0.005007783717041359,0.019231620405307126,0.007389482129189773,0.004325549807242979,0.013292256274379355,-0.027606643715302526,0.010480966213824328,-0.0037969422601376035,-0.007172490153490529,0.003925240393529039,0.005396043946439999,-0.011758849361534596,-0.0016256177353477508,0.007470404943379139,0.01147628331265893,0.007009932583039946,0.008983055532010065
