Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,UNH,V,VZ,WMT,XOM
2025-01-02,242.75210571289062,295.2494201660156,171.8699951171875,354.4178771972656,57.61424255371094,141.77622985839844,110.34942626953125,37.34581756591797,566.2639770507812,381.462158203125,214.40042114257812,20.219999313354492,140.629638671875,235.0247802734375,60.489707946777344,287.55810546875,127.2966537475586,96.39376068115234,416.2925109863281,72.43865203857422,24.814529418945312,161.70765686035156,114.33683013916016,237.96221923828125,495.6947326660156,312.18267822265625,37.61990737915039,89.32839965820312,103.51100158691406
2025-01-03,242.26429748535156,300.5548400878906,169.89999389648438,358.37811279296875,57.77128601074219,142.8778839111328,110.68798828125,37.20417785644531,571.3458862304688,382.169189453125,217.0421600341797,20.559999465942383,140.79563903808594,238.2367706298828,60.40167236328125,289.7896728515625,127.4634780883789,96.36459350585938,421.0364685058594,72.08467102050781,24.79587745666504,160.87954711914062,114.1988525390625,239.34519958496094,504.0364074707031,312.6891174316406,37.666683197021484,90.10257720947266,104.04154205322266
2025-01-06,243.89691162109375,299.3648376464844,170.77999877929688,358.7820129394531,57.68294906616211,142.30770874023438,110.57845306396484,37.53466796875,574.5565795898438,382.35577392578125,217.0616455078125,19.8700008392334,140.2781219482422,237.0752716064453,59.48219680786133,287.23370361328125,127.87570190429688,96.92835998535156,425.5118713378906,70.79656219482422,25.07563591003418,156.4661407470703,112.45437622070312,238.94020080566406,504.6946716308594,310.832275390625,37.058555603027344,90.74773406982422,103.92578125
2025-01-07,241.11947631835938,299.5036926269531,172.50999450683594,357.5998229980469,57.83999252319336,144.55935668945312,110.91700744628906,37.213619232177734,571.3359985351562,377.308349609375,218.31918334960938,20.010000228881836,142.78761291503906,239.35890197753906,59.511539459228516,284.4417419433594,130.30975341796875,98.19196319580078,420.0617980957031,70.88505554199219,25.299442291259766,157.14813232421875,113.144287109375,238.74261474609375,505.2645568847656,309.471923828125,36.41299819946289,90.13235473632812,104.9000244140625
2025-01-08,241.60726928710938,300.3267822265625,171.75999450683594,355.69854736328125,58.10499572753906,145.24549865722656,109.29393005371094,36.75092315673828,571.237548828125,380.224853515625,217.55880737304688,19.8799991607666,138.9208526611328,239.3195343017578,60.362548828125,282.0430603027344,132.0371551513672,97.05471801757812,422.2398376464844,70.09842681884766,25.047658920288086,157.92755126953125,114.24812316894531,239.8193817138672,515.3551635742188,310.3953857421875,36.43170928955078,91.11497497558594,103.14446258544922
2025-01-10,235.7836151123047,290.8563232421875,172.0,345.77838134765625,57.653507232666016,147.989990234375,108.18864440917969,36.35433578491211,551.5206909179688,382.86639404296875,214.2152099609375,19.149999618530273,138.7157745361328,236.11061096191406,59.73651885986328,277.53076171875,128.77865600585938,96.47151947021484,416.6604919433594,70.00993347167969,24.917104721069336,154.47865295410156,113.44981384277344,229.60504150390625,511.592041015625,305.53985595703125,36.00133514404297,92.30601501464844,102.76826477050781
2025-01-13,233.34463500976562,294.5453186035156,170.57000732421875,357.1072692871094,57.673133850097656,150.12567138671875,107.62106323242188,37.459129333496094,554.426025390625,382.169189453125,211.9243927001953,19.200000762939453,141.0690460205078,240.38259887695312,60.30385971069336,278.8284606933594,132.10585021972656,98.1530990600586,414.9101257324219,70.87522888183594,24.991708755493164,154.75144958496094,116.04187774658203,230.4940948486328,531.6846923828125,304.7554626464844,36.29650115966797,90.84699249267578,105.42091369628906
2025-01-14,232.2296905517578,297.8575134277344,167.02000427246094,366.0423583984375,58.23259353637695,151.62353515625,107.66089630126953,37.846275329589844,562.8760986328125,385.7043151855469,212.2655792236328,19.200000762939453,141.3424530029297,243.5915069580078,60.685340881347656,276.8131408691406,134.66748046875,96.8603286743164,413.3984375,69.98043823242188,24.628021240234375,155.62828063964844,117.74693298339844,234.0503387451172,534.2392578125,306.9101257324219,36.4488525390625,90.11251068115234,105.835693359375
2025-01-15,236.79901123046875,309.7178955078125,166.1999969482422,369.3129577636719,58.870567321777344,153.00546264648438,107.72063446044922,38.14844512939453,596.745361328125,398.7745666503906,214.4881591796875,19.719999313354492,141.55726623535156,248.39503479003906,60.421234130859375,277.52093505859375,135.2269287109375,97.28800201416016,423.9802551269531,69.88211059570312,24.450841903686523,155.54058837890625,117.37240600585938,237.0632781982422,533.9248657226562,314.0494384765625,36.353633880615234,90.65840148925781,107.56232452392578
2025-01-16,227.23228454589844,308.8848876953125,168.92999267578125,374.88873291015625,58.71352767944336,154.0201416015625,106.00794219970703,38.592247009277344,603.7083129882812,401.9561767578125,217.0519256591797,19.670000076293945,144.29136657714844,250.28494262695312,60.8907585144043,275.0042724609375,136.6009521484375,97.88092041015625,422.25970458984375,69.92144012451172,24.702625274658203,156.36871337890625,118.72264862060547,239.42422485351562,501.66851806640625,315.0125732421875,36.505977630615234,90.61870574951172,107.3790512084961
